Dates,SPX Index
2/28/1990,331.89
3/30/1990,339.94
4/30/1990,330.8
5/31/1990,361.23
6/29/1990,358.02
7/31/1990,356.15
8/31/1990,322.56
9/28/1990,306.05
10/31/1990,304
11/30/1990,322.22
12/31/1990,330.22
1/31/1991,343.93
2/28/1991,367.07
3/29/1991,375.22
4/30/1991,375.35
5/31/1991,389.83
6/28/1991,371.16
7/31/1991,387.81
8/30/1991,395.43
9/30/1991,387.86
10/31/1991,392.46
11/29/1991,375.22
12/31/1991,417.09
1/31/1992,408.79
2/28/1992,412.7
3/31/1992,403.69
4/30/1992,414.95
5/29/1992,415.35
6/30/1992,408.14
7/31/1992,424.21
8/31/1992,414.03
9/30/1992,417.8
10/30/1992,418.68
11/30/1992,431.35
12/31/1992,435.71
1/29/1993,438.78
2/26/1993,443.38
3/31/1993,451.67
4/30/1993,440.19
5/31/1993,450.19
6/30/1993,450.53
7/30/1993,448.13
8/31/1993,463.56
9/30/1993,458.93
10/29/1993,467.83
11/30/1993,461.79
12/31/1993,466.45
1/31/1994,481.61
2/28/1994,467.14
3/31/1994,445.77
4/29/1994,450.91
5/31/1994,456.5
6/30/1994,444.27
7/29/1994,458.26
8/31/1994,475.49
9/30/1994,462.69
10/31/1994,472.35
11/30/1994,453.69
12/30/1994,459.27
1/31/1995,470.42
2/28/1995,487.39
3/31/1995,500.71
4/28/1995,514.71
5/31/1995,533.4
6/30/1995,544.75
7/31/1995,562.06
8/31/1995,561.88
9/29/1995,584.41
10/31/1995,581.5
11/30/1995,605.37
12/29/1995,615.93
1/31/1996,636.02
2/29/1996,640.43
3/29/1996,645.5
4/30/1996,654.17
5/31/1996,669.12
6/28/1996,670.63
7/31/1996,639.95
8/30/1996,651.99
9/30/1996,687.31
10/31/1996,705.27
11/29/1996,757.02
12/31/1996,740.74
1/31/1997,786.16
2/28/1997,790.82
3/31/1997,757.12
4/30/1997,801.34
5/30/1997,848.28
6/30/1997,885.14
7/31/1997,954.29
8/29/1997,899.47
9/30/1997,947.28
10/31/1997,914.62
11/28/1997,955.4
12/31/1997,970.43
1/30/1998,980.28
2/27/1998,1049.34
3/31/1998,1101.75
4/30/1998,1111.75
5/29/1998,1090.82
6/30/1998,1133.84
7/31/1998,1120.67
8/31/1998,957.28
9/30/1998,1017.01
10/30/1998,1098.67
11/30/1998,1163.63
12/31/1998,1229.23
1/29/1999,1279.64
2/26/1999,1238.33
3/31/1999,1286.37
4/30/1999,1335.18
5/31/1999,1301.84
6/30/1999,1372.71
7/30/1999,1328.72
8/31/1999,1320.41
9/30/1999,1282.71
10/29/1999,1362.93
11/30/1999,1388.91
12/31/1999,1469.25
1/31/2000,1394.46
2/29/2000,1366.42
3/31/2000,1498.58
4/28/2000,1452.43
5/31/2000,1420.6
6/30/2000,1454.6
7/31/2000,1430.83
8/31/2000,1517.68
9/29/2000,1436.51
10/31/2000,1429.4
11/30/2000,1314.95
12/29/2000,1320.28
1/31/2001,1366.01
2/28/2001,1239.94
3/30/2001,1160.33
4/30/2001,1249.46
5/31/2001,1255.82
6/29/2001,1224.42
7/31/2001,1211.23
8/31/2001,1133.58
9/28/2001,1040.94
10/31/2001,1059.78
11/30/2001,1139.45
12/31/2001,1148.08
1/31/2002,1130.2
2/28/2002,1106.73
3/29/2002,1147.39
4/30/2002,1076.92
5/31/2002,1067.14
6/28/2002,989.81
7/31/2002,911.62
8/30/2002,916.07
9/30/2002,815.28
10/31/2002,885.76
11/29/2002,936.31
12/31/2002,879.82
1/31/2003,855.7
2/28/2003,841.15
3/31/2003,848.18
4/30/2003,916.92
5/30/2003,963.59
6/30/2003,974.5
7/31/2003,990.31
8/29/2003,1008.01
9/30/2003,995.97
10/31/2003,1050.71
11/28/2003,1058.2
12/31/2003,1111.92
1/30/2004,1131.13
2/27/2004,1144.94
3/31/2004,1126.21
4/30/2004,1107.31
5/31/2004,1120.68
6/30/2004,1140.84
7/30/2004,1101.72
